x,y,z
-5.019363333333334287e-01,-2.141161500000000384e+00,-1.086876666666666685e-01
-4.935479999999999867e-01,-2.151231499999999741e+00,-8.653800000000000381e-02
-5.048581428571429219e-01,-2.135869857142857153e+00,-8.332385714285714395e-02
-5.030565000000000175e-01,-2.100350999999999857e+00,-2.476789999999999825e-01
-5.052480000000000304e-01,-2.073209999999999997e+00,-2.395980000000000054e-01
-5.019454999999999334e-01,-2.100040499999999977e+00,-2.262069999999999914e-01
-5.012505000000000432e-01,-2.070959000000000216e+00,-2.204705000000000137e-01
-5.103839999999999488e-01,-2.054564000000000057e+00,-2.396199999999999997e-01
-5.020731999999999973e-01,-2.014420799999999900e+00,-2.433246000000000020e-01
-5.004035000000000011e-01,-2.041444499999999884e+00,-2.145394999999999941e-01
-5.028943333333333321e-01,-2.015403999999999751e+00,-2.185776666666666701e-01
-4.988451999999999886e-01,-2.109331599999999973e+00,-1.972322000000000242e-01
-4.997804999999999609e-01,-2.081482999999999972e+00,-2.044725000000000015e-01
-5.052119999999999944e-01,-2.092408999999999963e+00,-1.796014999999999973e-01
-5.057750000000000856e-01,-2.076632000000000033e+00,-1.710550000000000126e-01
-4.975364999999999926e-01,-2.037145999999999901e+00,-1.930959999999999899e-01
-5.007209999999999717e-01,-2.026212999999999820e+00,-1.914540000000000131e-01
-5.053196666666667225e-01,-2.046482333333333514e+00,-1.750890000000000224e-01
-5.049295000000000311e-01,-2.009977499999999750e+00,-1.701314999999999911e-01
-4.994394999999999807e-01,-1.990337499999999871e+00,-2.484224999999999905e-01
-5.030630000000000379e-01,-1.957589000000000024e+00,-2.421010000000000106e-01
-5.084560000000000191e-01,-1.982359499999999830e+00,-2.272850000000000148e-01
-5.042680000000000495e-01,-1.959676999999999891e+00,-2.130990000000000106e-01
-5.055560000000000054e-01,-1.940450999999999926e+00,-2.446129999999999971e-01
-4.993003333333332905e-01,-1.925199333333333485e+00,-2.247513333333333307e-01
-5.067439999999999722e-01,-1.906506999999999952e+00,-2.253860000000000030e-01
-5.003719999999999279e-01,-1.988661000000000012e+00,-1.955922499999999953e-01
-5.002615000000000256e-01,-1.962553999999999910e+00,-2.046195000000000097e-01
-5.020787500000000181e-01,-1.981006000000000045e+00,-1.742982499999999879e-01
-5.066745000000000276e-01,-1.966319499999999998e+00,-1.761369999999999880e-01
-4.986427999999999972e-01,-1.898884999999999934e+00,-1.964560000000000195e-01
-5.021060000000000523e-01,-1.923640599999999923e+00,-1.759531999999999763e-01
-5.060447500000000431e-01,-1.897158249999999935e+00,-1.776057500000000067e-01
-5.045417500000000111e-01,-2.072909499999999738e+00,-1.502425000000000010e-01
-5.050026666666665998e-01,-2.099495999999999807e+00,-1.305233333333333245e-01
-5.047349999999999337e-01,-2.066217500000000040e+00,-1.253475000000000006e-01
-5.062866666666666626e-01,-2.041248666666666711e+00,-1.495596666666666741e-01
-5.084874999999999812e-01,-2.013695999999999930e+00,-1.512415000000000009e-01
-5.053320000000000034e-01,-2.043899999999999828e+00,-1.299859999999999904e-01
-5.065185000000000937e-01,-2.024845000000000006e+00,-1.266569999999999918e-01
-5.036795000000000577e-01,-2.098385999999999640e+00,-1.083169999999999966e-01
-5.059783333333333077e-01,-2.078536000000000161e+00,-1.063376666666666637e-01
-5.050540000000000029e-01,-2.104353999999999836e+00,-9.084200000000000608e-02
-5.068983333333333396e-01,-2.075369666666666557e+00,-8.461266666666666936e-02
-5.069589999999999375e-01,-2.049027333333333090e+00,-1.069953333333333312e-01
-5.066669999999998675e-01,-2.015085333333333395e+00,-1.066686666666666755e-01
-5.080357500000000082e-01,-2.039977750000000256e+00,-8.345075000000000409e-02
-5.109280000000000488e-01,-2.013949999999999907e+00,-8.721700000000000286e-02
-5.070084999999999731e-01,-1.992280500000000121e+00,-1.500749999999999862e-01
-5.068080000000000362e-01,-1.947267999999999999e+00,-1.580729999999999913e-01
-5.049559999999999604e-01,-1.986785999999999941e+00,-1.253400000000000070e-01
-5.050400000000000444e-01,-1.963959999999999928e+00,-1.211259999999999976e-01
-5.034110000000000529e-01,-1.932932499999999942e+00,-1.470155000000000212e-01
-5.063539999999999708e-01,-1.902419333333333240e+00,-1.548383333333333278e-01
-5.034379999999999411e-01,-1.934008666666666487e+00,-1.288266666666666727e-01
-5.045380000000000420e-01,-1.904719666666666589e+00,-1.324629999999999974e-01
-5.072326666666667760e-01,-1.985640999999999989e+00,-1.070413333333333217e-01
-5.067859999999999587e-01,-1.955362000000000045e+00,-1.137220000000000036e-01
-5.039249999999999563e-01,-1.985179500000000097e+00,-8.234550000000000203e-02
-5.052664999999999518e-01,-1.965361499999999984e+00,-8.690000000000000502e-02
-5.021266666666667211e-01,-1.925660333333333307e+00,-9.833933333333333415e-02
-5.049908000000000730e-01,-1.900476399999999844e+00,-1.052440000000000042e-01
-5.047480000000000855e-01,-1.930558999999999914e+00,-8.527433333333332699e-02
-5.053849999999999731e-01,-1.907448999999999728e+00,-7.943200000000000260e-02
-5.007572000000000134e-01,-2.152985600000000055e+00,-6.146199999999999580e-02
-5.033644999999999925e-01,-2.136749000000000009e+00,-6.216299999999999604e-02
-5.020940000000000403e-01,-2.151371000000000144e+00,-3.022799999999999793e-02
-5.020981250000000617e-01,-2.137196250000000131e+00,-3.846412500000000179e-02
-4.988142500000000146e-01,-2.150401249999999820e+00,-1.337025000000000019e-02
-5.053618571428570849e-01,-2.134462428571428649e+00,-1.487385714285714353e-02
-4.993322857142857840e-01,-2.151781857142857302e+00,6.067000000000000344e-03
-5.051073333333334636e-01,-2.134727333333333643e+00,1.078383333333333277e-02
-4.955017500000000186e-01,-2.148559749999999990e+00,3.080825000000000230e-02
-5.079955714285715462e-01,-2.138153142857142974e+00,3.330814285714285561e-02
-5.005701666666667604e-01,-2.149786833333333647e+00,5.932750000000001217e-02
-5.067009999999999570e-01,-2.136420833333333213e+00,5.166183333333333044e-02
-4.984939999999999927e-01,-2.150928500000000021e+00,7.722675000000001067e-02
-5.069263749999999291e-01,-2.137796250000000065e+00,7.775325000000000986e-02
-5.036943333333333550e-01,-2.154214666666666833e+00,1.004524166666666690e-01
-5.140350000000000197e-01,-2.127269000000000077e+00,9.051399999999999724e-02
-5.082902499999999435e-01,-2.102968249999999983e+00,-5.993650000000000366e-02
-5.102280000000000149e-01,-2.080811000000000188e+00,-6.232799999999999452e-02
-5.114229999999999610e-01,-2.104130999999999752e+00,-3.896199999999999664e-02
-5.088334999999999386e-01,-2.069602500000000234e+00,-3.398550000000000182e-02
-5.075205000000000410e-01,-2.044373499999999844e+00,-6.275000000000000022e-02
-5.064025000000000887e-01,-2.016661500000000107e+00,-5.848550000000000276e-02
-5.070369999999999600e-01,-2.044267000000000056e+00,-3.287400000000000044e-02
-5.078245000000000120e-01,-2.019639999999999880e+00,-3.718149999999999927e-02
-5.057080000000000464e-01,-2.099361000000000033e+00,-2.552799999999999861e-02
-5.095456666666666745e-01,-2.082120666666666509e+00,-1.418066666666666607e-02
-5.089993333333332481e-01,-2.105166333333333473e+00,9.993333333333333235e-03
-5.111139999999999572e-01,-2.074078333333333024e+00,1.117899999999999970e-02
-5.101864999999999872e-01,-2.048383000000000287e+00,-1.790749999999999981e-02
-5.064272499999999955e-01,-2.018851000000000173e+00,-1.229774999999999965e-02
-5.100759999999999739e-01,-2.044060250000000245e+00,8.530249999999999638e-03
-5.080744999999999845e-01,-2.018247500000000194e+00,9.625500000000000375e-03
-5.073632000000000142e-01,-1.984908600000000023e+00,-6.116939999999999877e-02
-5.097110000000000252e-01,-1.959286000000000083e+00,-5.690499999999999725e-02
-5.057226666666667647e-01,-1.983171000000000239e+00,-3.936733333333333751e-02
-5.083945000000000825e-01,-1.955071000000000003e+00,-3.681600000000000150e-02
-5.031105000000000160e-01,-1.934535499999999963e+00,-6.320199999999999430e-02
-5.057063333333333688e-01,-1.898619833333333284e+00,-6.129516666666667141e-02
-5.086937500000000556e-01,-1.925720000000000098e+00,-3.745849999999999874e-02
-5.069883333333333741e-01,-1.893847333333333216e+00,-3.993399999999999728e-02
-5.104694999999999094e-01,-1.992686500000000027e+00,-1.434350000000000035e-02
-5.073539999999999717e-01,-1.960543750000000252e+00,-1.604500000000000023e-02
-5.086604999999999599e-01,-1.995112499999999844e+00,2.949499999999999865e-03
-5.082143999999999551e-01,-1.960431000000000257e+00,7.710000000000001574e-03
-5.092861999999999112e-01,-1.929630799999999979e+00,-1.364899999999999967e-02
-5.083539999999999726e-01,-1.896360500000000116e+00,-1.312224999999999850e-02
-5.088422499999999404e-01,-1.924962499999999910e+00,1.260800000000000115e-02
-5.124086666666666234e-01,-1.897608999999999879e+00,4.476666666666666121e-03
-5.110354999999999759e-01,-2.105143500000000056e+00,3.321199999999999847e-02
-5.075825000000000475e-01,-2.061647999999999925e+00,2.851000000000000062e-02
-5.127207499999999474e-01,-2.098226249999999737e+00,5.096024999999999860e-02
-5.130409999999999693e-01,-2.062132000000000076e+00,4.324299999999999672e-02
-5.110836666666666028e-01,-2.045083666666666744e+00,3.224033333333333612e-02
-5.117463333333333031e-01,-2.023535000000000306e+00,3.242166666666666808e-02
-5.132526000000000588e-01,-2.048391999999999769e+00,5.539140000000000036e-02
-5.166269999999999474e-01,-2.025936000000000181e+00,5.413400000000000156e-02
-5.122383333333333510e-01,-2.098767333333333429e+00,7.370733333333333304e-02
-5.124874999999999847e-01,-2.077730999999999995e+00,7.651849999999998930e-02
-5.143940000000000179e-01,-2.100242166666666410e+00,1.000010000000000066e-01
-5.121550000000000269e-01,-2.069685000000000219e+00,1.027750000000000052e-01
-5.102027499999999272e-01,-2.040171749999999840e+00,7.748175000000000201e-02
-5.125922499999999715e-01,-2.013675499999999730e+00,7.669400000000001216e-02
-5.138057499999999500e-01,-2.041718250000000179e+00,9.939299999999999524e-02
-5.166699999999999626e-01,-2.021991500000000386e+00,9.268650000000000500e-02
-5.102539999999999853e-01,-1.993158499999999833e+00,3.380099999999999771e-02
-5.103545000000000442e-01,-1.957408499999999885e+00,2.901075000000000181e-02
-5.111632500000000690e-01,-1.981437000000000115e+00,5.333924999999999778e-02
-5.109194999999999709e-01,-1.948083000000000009e+00,5.956399999999999889e-02
-5.118464999999999820e-01,-1.932402500000000023e+00,2.691624999999999573e-02
-5.112079999999999957e-01,-1.891678666666666730e+00,3.037399999999999822e-02
-5.105612499999999665e-01,-1.930433499999999913e+00,5.221049999999999996e-02
-5.103672500000000500e-01,-1.897521000000000013e+00,5.233325000000000476e-02
-5.144466666666667187e-01,-1.991478333333333239e+00,7.906133333333333069e-02
-5.151638000000000606e-01,-1.955540599999999740e+00,7.651660000000000406e-02
-5.101324999999999887e-01,-1.985720499999999999e+00,1.063764999999999988e-01
-5.142398333333332294e-01,-1.962209833333333320e+00,9.745300000000001184e-02
-5.178180000000000005e-01,-1.936801500000000065e+00,7.800050000000000039e-02
-5.152476000000000278e-01,-1.901121199999999956e+00,7.897719999999999740e-02
-5.161189999999999944e-01,-1.927352500000000024e+00,1.003449999999999898e-01
-5.174172499999999397e-01,-1.899748250000000027e+00,9.995350000000000068e-02
-1.723821111111111248e-01,-2.269441999999999737e+00,-2.422761111111111088e-01
-1.887217222222222768e-01,-2.249495555555555804e+00,-2.447110555555555289e-01
-1.699920000000000042e-01,-2.271033666666666395e+00,-2.218651666666666689e-01
-2.465882500000000088e-01,-2.245232499999999742e+00,-2.179260000000000086e-01
-1.858866111111111552e-01,-2.251468722222222052e+00,-2.217639444444444441e-01
-1.489870000000000083e-01,-2.275745999999999825e+00,-2.072779999999999900e-01
-2.457503333333333206e-01,-2.246143333333333381e+00,-1.995793333333333308e-01
-1.798476153846154113e-01,-2.243803192307692207e+00,-1.985860384615384389e-01
-2.432441999999999660e-01,-2.245870300000000430e+00,-1.773370999999999975e-01
-1.838769032258064651e-01,-2.240938000000000763e+00,-1.769701612903225862e-01
-9.816166666666666096e-02,-2.266097666666666566e+00,-2.477133333333333132e-01
-1.165584999999999954e-01,-2.254700249999999961e+00,-2.443654999999999855e-01
-1.128242857142857103e-01,-2.271251857142857045e+00,-2.181585714285714239e-01
-1.007192142857142869e-01,-2.245195857142857410e+00,-2.200593571428571260e-01
-1.233410000000000062e-01,-2.296041999999999916e+00,-1.979697499999999999e-01
-1.216379999999999961e-01,-2.297609999999999708e+00,-1.826149999999999995e-01
-1.202408333333332968e-01,-2.274807444444444382e+00,-1.988435555555554957e-01
-9.486218750000001421e-02,-2.247559625000000061e+00,-1.991103125000000251e-01
-1.144652857142857139e-01,-2.274236000000000146e+00,-1.771537142857142755e-01
-9.854211111111110810e-02,-2.246942999999999913e+00,-1.761632777777778214e-01
-3.618569999999999842e-01,-2.177132999999999985e+00,-2.369505000000000083e-01
